ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL
essentialssl,,Comodo Essential SSL,https://laravel.upgrade/ssl-certificates/comodo-essential-ssl,,,,,11.9 EUR,,,,,,
ssl123,,Thawte SSL123,https://laravel.upgrade/ssl-certificates/thawte-ssl123,,,,,26.5 EUR,,,,,,
instantssl,,Comodo InstantSSL,https://laravel.upgrade/ssl-certificates/comodo-instantssl,,,,,26.9 EUR,,,,,,
instantsslpro,,Comodo InstantSSL Pro,https://laravel.upgrade/ssl-certificates/comodo-instantssl-pro,,,,,34.05 EUR,,,,,,
comodossl,,ComodoSSL,https://laravel.upgrade/ssl-certificates/comodo-ssl,,,,,35.7 EUR,,,,,,
quicksslpremium,,GeoTrust QuickSSL Premium,https://laravel.upgrade/ssl-certificates/geotrust-quickssl-premium-certicate,,,,,49.5 EUR,,,,,,
comodopremiumssl,,Comodo InstantSSL Premium,https://laravel.upgrade/ssl-certificates/comodo-instantssl-premium,,,,,44.45 EUR,,,,,,
sslwebserver,,Thawte SSL Web Server,https://laravel.upgrade/ssl-certificates/thawte-ssl-web-server,,,,,50.7 EUR,,,,,,
elitessl,,Comodo Elite SSL,https://laravel.upgrade/ssl-certificates/comodo-elite-ssl,,,,,50.55 EUR,,,,,,
truebizid,,GeoTrust True BusinessID,https://laravel.upgrade/ssl-certificates/geotrust-true-businessid,,,,,60.6 EUR,,,,,,
positivesslwildcard,,PositiveSSL Wildcard,https://laravel.upgrade/ssl-certificates/comodo-positivessl-wildcard,,,,,63.2 EUR,,,,,,
essentialwildcard,,Essential SSL Wildcard,https://laravel.upgrade/ssl-certificates/comodo-essential-ssl-wildcard,,,,,65.9 EUR,,,,,,
comodoucc,,Com Unified Communications,https://laravel.upgrade/ssl-certificates/comodo-ucc,,,,,78.75 EUR,,,,,,
comodomdc,,Comodo Multi-Domain SSL,https://laravel.upgrade/ssl-certificates/comodo-multi-domain-ssl,,,,,78.75 EUR,,,,,,
quicksslpremiummd,,QuickSSL Premium SAN,https://laravel.upgrade/ssl-certificates/geotrust-quickssl-premium-san,,,,,90.4 EUR,,,,,,
positiveevssl,,Comodo PositiveSSL EV,https://laravel.upgrade/ssl-certificates/comodo-positivessl-ev,,,,,109 EUR,,,,,,
sslwebserverev,,Thawte SSL Web Server EV,https://laravel.upgrade/ssl-certificates/thawte-ssl-web-server-ev,,,,,126 EUR,,,,,,
truebusinessidev,,True BusinessID EV,https://laravel.upgrade/ssl-certificates/geotrust-true-businessid-ev,,,,,142 EUR,,,,,,
comodowildcard,,Comodo Wildcard SSL,https://laravel.upgrade/ssl-certificates/comodo-wildcard-ssl,,,,,131.3 EUR,,,,,,
comododvucc,,Comodo DV UCC,https://laravel.upgrade/ssl-certificates/comodo-domain-validated-ucc-ssl,,,,,131.3 EUR,,,,,,
comodopremiumwildcard,,InstantSSL Premium Wild,https://laravel.upgrade/ssl-certificates/comodo-instantssl-premium-wildcard,,,,,132.15 EUR,,,,,,
comodoevssl,,Comodo EV SSL,https://laravel.upgrade/ssl-certificates/comodo-ev-ssl,,,,,165 EUR,,,,,,
truebizidmd,,True BusinessID M/Domain,https://laravel.upgrade/ssl-certificates/geotrust-true-businessid-multi-domain,,,,,164.65 EUR,,,,,,
positiveevmdc,,PositiveSSL EV M/Domain,https://laravel.upgrade/ssl-certificates/comodo-positivessl-ev-multi-domain,,,,,195 EUR,,,,,,
truebusinessidevmd,,True BizID EV M/Domain,https://laravel.upgrade/ssl-certificates/geotrust-true-businessid-ev-multi-domain,,,,,209 EUR,,,,,,
comodouccwildcard,,Comodo UCC Wildcard,https://laravel.upgrade/ssl-certificates/comodo-ucc-wildcard,,,,,209.55 EUR,,,,,,
comodomdcwildcard,,Comodo M/Domain Wildcard,https://laravel.upgrade/ssl-certificates/comodo-multi-domain-wildcard,,,,,209.55 EUR,,,,,,
sslwebserverwildcard,,Thawte Wildcard SSL,https://laravel.upgrade/ssl-certificates/thawte-wildcard-ssl,,,,,249.9 EUR,,,,,,
securesite,,Symantec Secure Site,https://laravel.upgrade/ssl-certificates/symantec-secure-site,,,,,249.35 EUR,,,,,,
comodoevmdc,,Comodo EV Multi-Domain,https://laravel.upgrade/ssl-certificates/comodo-ev-multi-domain,,,,,285 EUR,,,,,,
quicksslpremiumwildcard,,QuickSSL Premium Wildcard,https://laravel.upgrade/ssl-certificates/geotrust-quickssl-premium-wildcard,,,,,269.15 EUR,,,,,,
ssl123wildcard,,Thawte SSL123 Wildcard,https://laravel.upgrade/ssl-certificates/thawte-ssl123-wildcard,,,,,288.3 EUR,,,,,,
